2025-06-05_20-30-38,SERVER,SERVER START
2025-06-05_20-30-42,SERVER,john_doe has connected
2025-06-05_20-30-47,SEVER,john_doe has already conected
2025-06-05_20-30-48,SERVER,Duplicate user has left the chat
2025-06-05_20-30-50,SERVER,john_doe has left the chat
